Invoice  No.	Date	Customer PO	Delivery Status	Item Number	Quantity	Description	Price	Inc-GST Price	Total	Inc-GST Total	Journal Memo	GST Code	GST Amount	Sale Status	Card ID
C10018	30/06/2008		I	CI/1	84601	C-Dax June Flyer - Job 7267 - Delivery 01 Jun 2008 - 10 grams	0.06	0.0675	5076.06	5710.568	C-Dax June Flyer	S	634.51	I	116
C10018	30/06/2008		I	CI/2	25971	C-Dax Mid June Need Grass Flyer - Job 7375 - Delivery 17 Jun 2008 - 10 grams	0.06	0.0675	1558.26	1753.043	C-Dax Mid June Need Grass Flyer	S	194.78	I	116
C10018	30/06/2008		I	FS	6634.32	Fuel Surcharge	0	0	0	0	C-Dax Mid June Need Grass Flyer	S	0	I	116

C10019	30/06/2008		I	CI/1	1786	Central Excavations Flyer - Job 7376 - Delivery 04 Jun 2008 - 5 grams	0.07	0.0788	125.02	140.648	Central Excavations Flyer	S	15.63	I	118
C10019	30/06/2008		I	FS	125.02	Fuel Surcharge	0	0	0	0	Central Excavations Flyer	S	0	I	118

C10020	30/06/2008		I	CI/1	26250	Fil The Dairy Farmer  - Job 7145 - Delivery 01 Jun 2008 - 35 grams	0.12	0.135	3150	3543.75	Fil The Dairy Farmer 	S	393.75	I	120
C10020	30/06/2008		I	FS	3150	Fuel Surcharge	0	0	0	0	Fil The Dairy Farmer 	S	0	I	120

C10021	30/06/2008		I	CI/1	75684	NZ FARMERS WEEKLY - Job 7303 - Delivery 02 Jun 2008 - 150 grams	0.0875	0.0984	6622.35	7450.144	NZ FARMERS WEEKLY	S	827.79	I	124
C10021	30/06/2008		I	CI/2	75684	NZ FARMERS WEEKLY - Job 7304 - Delivery 09 Jun 2008 - 120 grams	0.0875	0.0984	6622.35	7450.144	NZ FARMERS WEEKLY	S	827.79	I	124
C10021	30/06/2008		I	CI/3	75684	NZ FARMERS WEEKLY - Job 7305 - Delivery 16 Jun 2008 - 105 grams	0.0875	0.0984	6622.35	7450.144	NZ FARMERS WEEKLY	S	827.79	I	124
C10021	30/06/2008		I	CI/4	75684	NZ FARMERS WEEKLY - Job 7306 - Delivery 23 Jun 2008 - 80 grams	0.072	0.081	5449.248	6130.404	NZ FARMERS WEEKLY	S	681.16	I	124
C10021	30/06/2008		I	CI/5	75684	NZ FARMERS WEEKLY - Job 7307 - Delivery 30 Jun 2008 - 80 grams	0.072	0.081	5449.248	6130.404	NZ FARMERS WEEKLY	S	681.16	I	124
